transaction_count,incoming_transaction_count,outgoing_transaction_count,unique_incoming_counterparties,unique_outgoing_counterparties,activity_duration_seconds,total_incoming_value,total_outgoing_value,average_incoming_value,average_outgoing_value,maximum_incoming_value,maximum_outgoing_value,incoming_outgoing_value_ratio,outgoing_value_concentration,incoming_value_concentration,total_unique_counterparties,counterparty_reuse_count,fan_in,fan_out,graph_multi_hop_exposure_count,total_transaction_fees,average_transaction_fee,minimum_transaction_fee,maximum_transaction_fee,fee_to_value_ratio,average_transaction_gap_seconds,minimum_transaction_gap_seconds,maximum_transaction_gap_seconds,transaction_burst_count,rapid_transaction_sequence_count,target
2121.0,1063.0,1058.0,2.0,2.0,0.0,346.0164569,345.5720759,0.325509,0.326628,0.0,4.25426,1.001285928554391,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.01,0.009418468,0.01,0.009418,0.0,0.009418,1.0617437995223853,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.18071719,0.179795396,0.180717,0.179795,0.0,0.179795,1.0051269054742649,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98.0,51.0,47.0,4.0,1.0,0.0,42.31458197,42.18801585,0.8296979999999999,0.897617,0.0,18.912983,1.00300004912414,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,2.2,2.199496,2.2,2.199496,0.0,2.199496,1.0002291434037618,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,2.0,2.0,2.0,2.0,0.0,101.0,100.9990158,50.5,50.499508,0.0,83.139016,1.0000097446494127,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,2.0,3.0,2.0,3.0,0.0,2001.0,2000.998585,1000.5,666.999528,0.0,1445.489175,1.0000007071469268,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
208.0,105.0,103.0,1.0,1.0,0.0,107.6184304,107.385162,1.024937,1.042574,0.0,1.7774299999999998,1.0021722591432138,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,0.0,1.0,0.0,0.0,1.84447207,0.0,1.844472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,9.0,16.0,6.0,13.0,0.0,6.39942711,6.38254529,0.711047,0.398909,0.0,3.206184,1.0026449980741148,0.0,0.0,19.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
